PM 10.0,PM2.5,CategoryName
8.144536082474227,1.8950483743061064,0
53.901525723472666,9.832998392282958,1
26.222523185161496,4.2005036776463065,1
17.22637259577174,3.1866332856461614,1
26.106805074971163,3.657128027681661,0
40.68351006068349,7.2901053976365375,1
12.710534326938323,2.1445869668622164,0
4.216883425852498,1.1028231562252182,1
7.610490164974619,2.075358502538071,0
10.091049192928516,1.4555303612605688,0
18.020936305732484,3.3001656050955415,0
21.17284836065574,4.235877732240437,1
17.73214995193848,3.857209227811599,1
8.153000634719136,1.7901221834338306,1
12.488858911283923,2.448809712744009,0
14.17546131896005,1.8875443880786302,0
17.778831375039694,3.5190457288027948,0
9.860044564698393,2.3284848002546554,0
20.82754093148943,3.5754649499284694,0
14.971054805401112,2.320490865766481,0
22.74660685932042,4.184017148301048,0
7.977677664974619,1.8137071700507614,1
26.108621294230154,5.170787376474339,1
17.70579624920534,3.4106436745073108,0
25.516753535674557,4.479523279834737,1
29.001286287089012,6.042641539695269,1
22.586624761298538,4.635704964990452,1
